Sample.Code x_coordinate y_coordinate Li Be Na Mg Al P S K Ca Ti V Cr Mn Fe Co Ni Cu Zn Ga As Se Rb Sr Y Zr Nb Mo Ag Cd Sn Sb Cs Ba La Ce Pr Nd Sm Eu Gd Tb Dy Ho Er Tm Yb Lu Hf Ta W Tl Pb Bi Th U catchment long lat locality
CG016 323 194 34.1 1.04 16787 41909 75881 1274 NA 8650 24063 4663.2 119.3 389.32 1650.7 58603 36.77 204.72 55.39 118 13.23 8.76 0.6 39.39 183.97 22.929 50.57 8.112 0.35 0.066 0.37 2.21 0.5 1.38 317.1 22.97 54.7 5.682 22.02 4.238 1.151 4.076 0.637 4.074 0.804 2.357 0.344 2.313 0.325 1.473 0.574 0.317 0.285 28.309 NA 4.95 1.496 Tay -3.98535 56.5923166666667 50
CG019 382 280 33.1 2.301 17174 14962 81539 847 NA 26193 13467 3950.1 65.6 57.64 798.8 37711 13.11 25.48 14.76 91 17.76 2.13 0.27 109.36 211.59 23.657 112.43 12.979 0.48 0.068 0.16 3.11 0.26 3.23 635.6 37.72 83.01 9.459 35.26 6.493 1.405 5.319 0.781 4.659 0.829 2.547 0.373 2.888 0.384 3.288 0.849 0.677 0.738 23.973 NA 12.25 2.914 Tay -3.790329 56.74666 45
CG020 613 451 28.8 4.181 19570 11497 68414 853 NA 23596 16785 5124.2 76.5 75.02 1251.8 38355 12.99 32.62 13.42 78 14.23 2.62 0.43 118.29 189.47 28.55 203.83 21.398 0.89 0.095 0.3 4.49 0.22 3.31 501.7 48.32 97.39 11.731 42.06 7.763 1.333 6.422 0.888 5.391 0.981 2.948 0.439 2.926 0.457 6.292 2.151 2.551 0.87 34.239 0.6 19.92 8.031 Dee -3.02916666666667 57.0522166666667 1
CG021 879 521 38.1 2.564 13851 14289 74752 2164 NA 16334 17732 10409.2 134.4 84.36 1674 60318 27.29 53.92 195.58 281 16.37 6.51 0.83 77.62 190.56 22.774 102.87 16.512 1.56 0.538 0.81 19.09 4.16 3.26 667 43.75 86.88 10.42 38.21 6.916 1.77 5.909 0.815 4.633 0.761 2.284 0.302 2.026 0.295 3.143 1.108 1.858 0.622 188.368 0.6 12.94 6.204 Don -2.15618333333333 57.1769666666667 34
CG022 700 551 38.9 2.17 14332 17069 84444 1762 NA 17936 18991 14684.7 142.3 110.05 2357.9 67087 25.31 49.79 33.34 144 18.07 3.47 0.72 83.4 180.63 35.316 136.65 27.699 1.13 0.122 0.41 3.36 0.35 2.83 629.1 97.79 192.42 23.204 85.41 15.152 2.537 11.896 1.544 8.226 1.31 3.475 0.475 2.868 0.411 3.953 1.768 0.993 0.58 31.743 0.3 27.66 5.431 Don -2.7425 57.2322333333333 37
CG023 813 574 32.9 2.34 16844 14487 74232 1452 NA 16511 20613 17278.8 157 85.24 1894.3 64185 23.03 41.07 21.47 137 15.54 3.92 0.42 74.22 215.52 20.514 117.5 23.53 0.67 0.109 0.67 9.09 0.6 2.39 580.5 40.4 79.87 9.687 36.02 6.35 1.647 5.425 0.757 4.227 0.736 2.177 0.293 2.035 0.308 3.575 1.579 1.911 0.584 67.945 0.5 13.48 4.187 Don -2.37243333333333 57.2759 36
CG024 811 584 41.9 1.602 12026 21039 73582 2582 NA 10194 26401 37289.3 341 119.45 4761.9 115501 42.49 58.17 29.08 190 15.73 7.1 0.79 50.26 169.06 20.427 94.87 29.447 1.16 0.134 0.62 6.56 0.58 2.75 626.2 36.37 72.64 8.777 33.93 6.157 2.112 5.183 0.737 4.186 0.732 2.144 0.305 1.989 0.301 3.126 1.752 1.33 0.432 34.8 0.3 8.51 4.001 Don -2.37061666666667 57.2928666666667 35
CG025 457 415 40 6.399 20383 4917 72974 783 NA 32076 8035 3026.1 35 20.57 1962.5 24722 9.53 10.23 6.4 75 16.48 2.62 0.3 196.84 146.65 26.341 173.09 26.438 1.12 0.085 0.29 6.77 0.15 6.21 612.3 34.61 79.87 8.679 31.53 6.418 0.917 5.15 0.831 4.995 0.932 3.056 0.451 3.255 0.558 5.757 2.97 2.533 1.397 40.986 0.3 23.24 9.761 Dee -3.54406666666667 56.9885333333333 30
CG026 382 265 12.2 1.528 21806 9350 67140 792 NA 14131 16502 3992.5 67.4 44.24 980.4 29206 10.4 19.41 9.57 100 12.34 2.76 0.7 58.52 196.44 29.517 141.13 9.17 0.45 0.053 0.29 6.23 0.28 1.56 442.7 41.41 57.39 10.759 41.79 8.052 1.756 7.019 1.005 5.736 1.035 2.987 0.411 2.791 0.38 4.019 0.647 0.376 0.429 88.917 NA 6.28 5.558 Tay -3.78951666666667 56.7190666666667 47
CG031 683 661 40.9 1.657 15212 12198 73219 1073 NA 15845 14334 10148.2 108.3 80.9 2198.8 53689 22 60.43 19.53 113 15.21 3.5 0.4 69.51 149.27 17.981 125.31 21.045 0.36 0.067 0.26 2.88 0.39 3.45 573.3 38 75.08 9.038 33.51 6.004 1.49 4.821 0.626 3.786 0.689 1.948 0.286 1.901 0.342 3.485 1.216 1.015 0.44 22.486 NA 8.79 2.044 Deveron -2.80136666666667 57.4315333333333 63
CG032 843 474 27.3 4.19 23308 8354 72406 2214 NA 20447 20317 10272.3 115.8 52.4 4857.5 58698 33.72 37.63 58.04 213 15.67 6.76 0.95 80.41 316.96 33.039 215.87 20.566 2.02 0.381 0.95 29.73 2.33 2.62 965.7 67.1 133.53 16.18 60.8 10.81 2.192 8.713 1.129 6.495 1.111 3.2 0.434 2.915 0.42 6.112 1.55 1.44 0.691 151.571 0.4 22.88 13.016 Dee -2.26393333333333 57.0934666666667 6
CG033 391 547 22.4 5.348 21354 4655 72666 969 NA 29953 9876 3156 41 25.87 524.5 20581 6.82 10.62 7.81 68 15.49 1.05 0.37 141.89 222.28 32.035 150.55 16.104 0.62 0.113 0.28 3.9 0.23 3.94 791.3 35.06 78.48 9.044 33.71 6.722 1.355 5.738 0.951 5.845 1.122 3.621 0.544 3.768 0.555 4.717 1.453 1.058 1.045 33.236 0.2 14.3 8.201 Spey -3.76226666666667 57.2218333333333 19
CG035 547 184 26.6 1.309 16642 11078 70377 1257 NA 13844 14956 5094.6 88.8 73.42 1162.8 41391 15.52 42.04 24.43 119 12.9 7.51 0.67 55.62 183.53 24.097 110.95 9.705 0.48 0.11 0.42 2.99 0.55 2.15 520.7 26.45 51.99 6.499 24.49 4.53 1.233 4.177 0.645 4.385 0.844 2.634 0.369 2.495 0.382 2.985 0.656 0.443 0.388 31.236 NA 6.87 3.68 Tay -3.23398333333333 56.5883 57
CG036 688 674 23.7 1.317 13867 25590 68146 959 NA 11280 29762 9883.4 169.4 199.73 2450.6 63063 33.36 82.52 26.96 138 14.25 4.22 0.45 45.14 166.5 17.664 74.52 16.392 0.48 0.055 0.35 2.26 0.49 1.62 388.1 25.83 53 6.52 25.01 4.945 1.367 4.172 0.607 3.627 0.666 1.888 0.252 1.724 0.267 2.149 0.983 0.495 0.314 18.937 NA 6.1 1.553 Deveron -2.78128 57.45562 42
CG037_rep_avg_dup_avg 758 715 30.275 1.785 13471.25 16007.25 67143 862.25 NA 15748.75 16408.5 7159.35 100.15 102.725 1367.075 43239.25 21.1675 47.7175 20.8825 122.5 14.255 3.565 0.46 74.1 145.1325 17.973 113.5625 15.02925 0.3375 0.09275 0.33 2.8075 0.43 3.0375 517.975 31.4025 62.0675 7.52775 28.545 5.2545 1.24575 4.3845 0.63025 3.653 0.64775 1.96725 0.29075 1.91625 0.27325 3.2355 0.953 0.733 0.5095 21.02675 NA 8.2725 2.0265 Deveron -2.55281666666667 57.53005 41
CG038_rep_avg_dup_avg 365 510 15.5625 3.259625 21405.25 3451.875 68638.125 1130 NA 30026 11593.125 4053.625 35.3625 20.25 866.0375 18769.375 6.05 8.25 4.8375 43.125 13.62875 1.1175 0.15375 125.6375 234.4375 38.209 271.46375 20.013375 0.3975 0.09625 0.1675 3.4325 0.17125 3.04875 875.825 29.035 71.92875 7.809875 30.5025 6.37525 1.43125 5.896 0.984375 6.646375 1.358625 4.442625 0.702 5.054125 0.748375 7.899 1.750125 1.188125 0.921125 25.898625 NA 11.2225 5.08675 Spey -3.84878333333333 57.1581166666667 17
CG039 595 773 20.2 2.533 12535 7068 60476 713 NA 25147 8689 2980.8 40.1 31.7 760.2 23193 7.41 13.31 11.89 65 12.36 3.4 0.22 112.45 165.61 22.206 169.98 10.889 0.48 0.113 0.25 3.5 0.4 5.92 734.5 32.94 70.09 7.96 29.85 5.548 1.116 4.577 0.676 4.192 0.803 2.48 0.378 2.726 0.41 4.904 0.935 0.986 0.892 27.41 0.2 12.41 4.097 Spey -3.10143333333333 57.63545 28
CG041 669 558 26.4 1.397 13094 20359 70245 1785 NA 12532 25577 31111.7 257.2 149.94 2606.5 95929 28.71 60.03 20.29 140 15.55 9.26 0.6 56.22 179.2 24.806 125.42 33.661 0.54 0.085 0.31 5.31 0.46 1.99 478 49.41 99.77 12.205 46.95 8.554 2.044 6.981 0.926 5.288 0.894 2.533 0.347 2.258 0.324 3.716 2.101 1.062 0.393 37.174 NA 13.77 2.754 Don -2.84516666666667 57.2457 39
CG042 513 662 26.1 4.333 17986 7540 68724 876 NA 25783 11742 3547.8 40.8 35.63 1270.7 27070 8.89 16.02 11.29 66 13.98 3.22 0.32 123.24 211.19 31.274 216.41 15.581 0.57 0.122 0.26 4.27 0.33 3.55 669.9 43.51 90.45 10.683 39.58 7.437 1.325 6.215 0.927 5.792 1.079 3.424 0.48 3.701 0.548 6.542 1.408 1.71 0.898 33.183 0.2 18.11 5.634 Spey -3.35983333333333 57.434 25
CG044 596 466 25.8 4.282 17877 11918 61622 1025 NA 17740 20877 4979.8 81.2 64.53 3009.2 44646 19.86 25.08 11.44 145 12.97 2.63 0.91 105 250.63 29.966 150.7 17.636 2.01 0.137 0.97 4.2 0.23 3.59 521.7 38.13 77.09 9.421 35.4 6.874 1.324 6.139 0.895 5.366 0.971 3.014 0.426 2.768 0.389 4.489 1.685 3.068 0.906 42.226 0.7 13.95 11.065 Dee -3.08636666666667 57.0790666666667 3
CG045 277 451 14 2.475 21532 6271 69617 1161 NA 22342 14467 3299.5 47.1 35.62 1053.4 28316 9.32 17.12 10.42 63 13.34 1.67 0.32 80.09 306.48 28.551 132.33 10.743 0.69 0.075 0.16 2.15 0.16 2.27 774 43.05 91.6 10.489 40.32 7.597 1.518 6.202 0.884 5.481 1.008 3.049 0.441 3.155 0.444 3.791 0.758 0.417 0.525 29.443 NA 11.16 3.494 Spey -4.12978333333333 57.05 13
CG048 498 223 33.6 1.75 16012 17895 81657 1050 NA 14641 22238 4849.8 137.4 96.41 2275 58543 25.42 46.8 36.59 142 17.04 9.23 0.65 66.42 205.16 26.066 81.79 8.613 0.48 0.053 0.42 5.24 0.48 2.95 508.9 27.16 60.02 6.714 25.75 4.945 1.311 4.742 0.729 4.905 0.917 2.793 0.397 2.691 0.384 2.276 0.537 0.416 0.491 32.116 NA 7.06 2.332 Tay -3.40893333333333 56.6456 60
CG049 428 201 15.6 2.385 18639 8702 68129 1042 NA 18449 16607 4098.4 65.1 45.51 724.7 31070 10.3 19.25 13.22 78 13.44 3.22 0.39 70.31 221.24 27.842 147.98 11.911 0.38 0.066 0.2 4.94 0.29 1.68 587.8 27.54 59.15 7.098 27.04 5.414 1.259 4.714 0.736 5.052 0.964 3.26 0.462 3.153 0.471 4.267 0.871 0.385 0.483 24.312 NA 7.76 3.53 Tay -3.62881666666667 56.6088333333333 52
CG051 705 556 31.8 2.041 15488 17309 79886 1624 NA 15741 22854 11609.4 147.8 103.62 1771.9 64247 24.84 60.17 22.68 147 17.12 6.84 0.63 72.36 202.37 22.92 99.66 19.309 0.74 0.093 0.44 2.99 0.27 2.58 578.2 47.68 94.81 11.599 44.49 7.812 1.894 6.778 0.87 4.989 0.833 2.364 0.317 2.124 0.326 2.851 1.204 0.702 0.521 27.903 NA 12.58 2.965 Don -2.72815 57.24305 38
CG053 518 205 26 2.217 15907 15057 78889 1082 NA 13806 22183 5694.8 110.3 94.22 1763.7 56485 22.7 47.56 26.64 120 15.72 9.22 0.41 57.72 203.76 27.905 128.39 9.998 0.36 0.071 0.28 4.47 0.35 1.99 481 26.92 57.74 6.709 25.37 4.828 1.358 4.534 0.735 4.96 0.986 3.116 0.448 3.04 0.454 3.58 0.636 0.435 0.385 30.512 NA 7.16 2.126 Tay -3.33996666666667 56.6118 58
CG057 476 417 32.3 5.575 18190 11316 67847 689 NA 23956 9647 2718.4 42.8 35.94 1374.8 29846 11.42 17.54 9.12 84 14.62 3.24 0.68 133.91 153.95 25.661 166.09 16.318 1.1 0.101 0.29 3.86 0.27 4.7 480.2 42.94 89.41 10.576 39.32 7.385 1.138 6.056 0.888 5.178 0.89 2.723 0.396 2.692 0.385 5.14 1.757 1.568 1.001 34.062 0.5 19.95 16.847 Dee -3.48321666666667 56.9885666666667 31
CG059 319 460 12.3 2.78 22413 3982 68786 1695 NA 28960 16835 8693.8 49.6 29.3 1079.2 24805 6.54 10.61 11.48 47 14.35 1.48 0.13 103.31 265.99 68.173 947.49 38.265 1.2 0.215 0.24 5.59 0.39 2.24 863.6 35.51 87.36 10.348 40.4 9.326 2.081 8.95 1.631 11.346 2.334 8.115 1.272 9.444 1.445 26.373 3.19 1.019 0.711 29.867 0.3 14.11 9.105 Spey -3.99781666666667 57.0682833333333 14
CG061 432 409 44.3 15.656 24013 1127 67151 451 1450 32730 4198 1132.5 12.4 4.51 1507.4 12978 3.1 2.41 3.13 66 18.35 2.09 1.57 293.12 75.38 34.671 183.48 36.659 3.16 0.176 0.31 11.15 0.24 9.84 298.3 49.28 100.01 11.992 42.97 8.982 0.484 7.286 1.091 6.545 1.091 3.421 0.498 3.598 0.554 6.755 5.315 3.276 2.117 64.88 0.9 38.43 67.659 Dee -3.62385 56.9781666666667 29
CG062 606 444 27.8 1.46 19959 17184 71707 984 NA 20937 21654 6654.8 123.5 152.61 1641.5 53615 19.89 67.21 23.82 107 16.27 2.81 0.31 93.22 196.31 29.041 163.07 19.837 0.76 0.097 0.32 3.59 0.27 3.16 545.3 52.21 106.96 12.505 46.12 8.401 1.52 6.912 0.973 5.671 1.01 3.048 0.431 2.876 0.403 4.756 1.669 1.064 0.728 34.103 0.3 19.8 4.672 Dee -3.04643333333333 57.0397666666667 2
CG063 374 523 30.2 6.074 24876 2474 69165 560 NA 32113 8669 2684.5 22.6 14.67 655.7 14760 4.05 6.39 4.68 44 15.74 1.21 0.11 219.11 182.93 28.938 231.84 32.763 0.77 0.094 0.11 6.32 0.1 5.81 575.5 40.65 89.24 9.842 35.22 6.968 0.847 5.71 0.875 5.272 0.993 3.231 0.506 3.708 0.546 7.218 4.301 3.911 1.476 33.77 0.6 25.54 9.33 Spey -3.81901666666667 57.1778833333333 18
CG064 504 430 30.9 4.66 17807 8653 63598 754 NA 23460 11264 5204.1 50.5 38.61 1382.4 32905 9.87 15.97 7.65 81 14.99 2.81 0.26 142.07 141.66 32.822 343.09 41.551 0.87 0.123 0.2 8.02 0.26 4.12 456.5 59.84 125.7 14.661 53.12 10.006 1.116 7.64 1.071 6.385 1.131 3.538 0.55 3.968 0.572 10.745 5.394 6.399 0.989 33.839 0.5 33.76 10.798 Dee -3.39021666666667 57.0176833333333 4
CG065 501 424 27.2 2.364 13557 16029 65564 703 NA 15086 13757 4514.5 69.9 58.79 1420.7 40068 14.86 26.14 13.13 120 14.25 4.47 0.37 67.56 146.03 18.295 108.37 9.384 0.48 0.061 0.41 3.02 0.28 3.43 373.2 32.9 68.89 7.971 29.69 5.439 1.196 4.322 0.62 3.714 0.651 1.904 0.298 1.929 0.275 3.076 0.633 0.926 0.541 26.523 0.3 9.53 2.441 Dee -3.38441666666667 57.00105 5
CG066 350 484 17.4 3.199 21149 3804 69166 1538 NA 29911 13053 5939.2 42.1 22.92 958.2 22321 6.88 9.14 5.78 49 13.37 1.47 0.14 127.8 223.74 52.892 588.95 30.979 0.48 0.175 0.22 4.68 0.2 3.24 848.3 37.74 92.74 10.119 39.18 8.499 1.688 7.937 1.329 9.118 1.848 6.26 0.973 7.124 1.084 17.459 2.875 2.652 0.941 30.335 0.2 15.26 7.671 Spey -3.89568333333333 57.1116833333333 16
CG073 512 647 34.1 3.211 13950 10994 66213 738 NA 21558 12606 3271.3 48.6 50.91 836.5 31611 9.92 20.55 14.14 88 14.48 4.78 0.39 114.7 187.34 24.638 152.77 13.943 0.5 0.085 0.16 3.37 0.44 4.51 525.5 41.59 81.83 9.841 37.46 6.848 1.192 5.611 0.788 4.922 0.89 2.703 0.401 2.699 0.399 4.8 1.114 1.884 0.778 23.197 0.3 16.68 7.619 Spey -3.36098333333333 57.4060833333333 24
CG075 696 710 32 1.828 12787 21015 69131 1058 NA 15050 21727 9275.7 137.3 153.38 2529 56313 27.62 73.78 31.94 150 15.19 4.76 0.71 72.19 146.36 20.035 107.44 17.589 0.6 0.077 0.41 3.96 0.49 3.4 521 33.48 69.99 8.183 31.09 5.704 1.385 4.77 0.677 3.97 0.744 2.275 0.317 2.061 0.298 3.008 1.065 0.907 0.53 35.182 0.2 8.65 2.23 Deveron -2.75793333333333 57.5212333333333 62
CG077 582 681 31.7 2.806 9304 22709 59524 1240 NA 18092 16857 2902.4 56.1 53.46 1045.4 40841 13.21 27.99 81.44 113 13.88 7.29 1.15 95.08 137.08 22.657 134.53 8.926 0.62 0.282 0.25 4.17 0.94 4.83 533.2 36.45 71.63 8.79 33.37 5.989 1.187 5.166 0.717 4.559 0.794 2.394 0.347 2.44 0.324 3.802 0.816 2.062 0.683 48.518 0.4 11.5 4.51 Spey -3.13001666666667 57.4675666666667 26
CG079 502 227 25.4 2.172 17744 14107 73865 986 NA 15001 18153 4761.2 105.5 78.69 1203.5 49332 21.11 39.79 36.64 166 16.19 9.88 0.53 66.61 185.95 24.325 96.15 9.131 0.6 0.167 0.49 7.36 0.81 2.15 474.9 30.05 64.43 7.291 28.08 5.267 1.31 4.869 0.722 4.683 0.834 2.692 0.372 2.532 0.363 2.736 0.591 0.769 0.497 41.984 0.2 7.88 2.272 Tay -3.39675 56.6525 59
CG084 729 457 28.4 3.341 17928 11324 64989 941 NA 22273 17535 5142.6 82.7 83.73 1412.8 39650 14.6 34.73 16.62 112 15.16 2.46 0.45 133.58 182.24 28.956 193.44 22.392 1.08 0.124 0.45 4.54 0.3 3.99 517.5 53.2 105.52 12.373 45.6 8.222 1.315 6.785 0.949 5.619 0.988 3.002 0.446 3.084 0.469 6.009 2.281 3.059 0.956 35.468 0.4 24.96 10.324 Dee -2.6487 57.0646166666667 10
CG085 514 158 21.3 1.56 16686 9622 62505 1046 NA 11213 18095 6146 87.9 71.35 1480.4 46912 13.99 28.68 107.78 136 11.31 7.27 0.3 43.7 183.72 30.287 160.82 11.043 0.31 0.088 0.26 3.92 0.56 1.33 391.4 25.15 50.98 6.173 23.53 4.454 1.108 4.406 0.745 5.153 1.076 3.413 0.504 3.469 0.5 4.517 0.772 0.56 0.303 40.119 NA 6.54 2.638 Tay -3.34236666666667 56.5324166666667 53
CG086_rep_avg_dup_avg 780 450 29.425 4.362125 18253.75 9800.25 63325.25 984 NA 21579.375 17540.125 6155.25 84.925 73.835 831.4625 38640.625 11.3475 28.895 26.5725 103.625 15.45875 2.46875 0.71 129.02375 190.03125 32.587625 280.665 26.358 1.22875 0.266 0.395 10.9025 0.41625 3.795 498.3375 68.10125 136.09 15.563125 56.8 10.308 1.460125 8.20025 1.108875 6.433375 1.143875 3.439375 0.498375 3.47425 0.524 8.438625 2.770625 5.198125 0.969375 77.86175 1.25 33.51625 13.74325 Dee -2.48278333333333 57.0515 8
CG087 503 555 43.4 5.761 13598 9787 71482 807 NA 23547 12026 3465.1 52.5 53.93 953.8 36744 10.99 23.19 12.74 118 17.54 5.74 0.89 152.91 187.28 37.492 225.52 20.625 0.91 0.103 0.33 4.78 0.5 5.57 469.1 59.29 120.53 14.181 52 9.892 1.28 8.329 1.205 7.095 1.271 3.842 0.558 3.865 0.601 6.868 1.929 2.533 1.103 34.202 0.3 32.49 20.064 Spey -3.38866666666667 57.2396666666667 22
CG088 852 473 24.2 3.922 19162 8466 62926 855 NA 24384 15951 5351.5 73.5 59.23 1003.8 34085 10.55 22.53 14.68 100 14.68 2.16 0.34 142.91 189.19 29.086 251.38 23.956 1.21 0.114 0.44 7.07 0.45 3.38 534.9 70.39 137.76 15.714 56.48 10.068 1.378 8.003 1.044 5.904 1.028 3.115 0.447 3.144 0.471 7.791 2.427 3.296 1.015 38.507 0.3 34.71 10.048 Dee -2.24345 57.0954333333333 7
CG089 507 155 13.9 1.269 16777 7100 61252 1220 NA 13657 18809 7815.6 66.9 51 1136.8 40607 9.44 16.36 13.63 51 12.02 2.21 0.15 52.32 198.77 44.327 509.73 18.469 0.3 0.098 0.16 2.08 0.23 1.14 457.5 33.72 71.34 8.681 33.44 6.718 1.523 6.338 1.107 7.505 1.571 5.211 0.847 5.744 0.906 14.465 1.385 1.344 0.366 24.253 NA 8.95 4.325 Tay -3.37923333333333 56.5182166666667 54
CG090 763 781 35.9 1.824 12610 12137 66239 812 NA 16995 11970 6552.1 96.2 96.48 1162 41448 17.64 40.94 22.96 119 14.91 3.13 0.45 78.43 135.02 18.235 121.53 15.685 0.37 0.093 0.24 4.17 0.42 3.02 550.8 33.32 66.05 7.927 30.67 5.448 1.216 4.829 0.608 3.669 0.68 2.082 0.296 2.125 0.309 3.41 0.999 0.742 0.532 22.034 NA 8.65 2.09 Deveron -2.53758333333333 57.6482666666667 40
CG091 563 703 18.7 2.305 15736 6152 52313 645 NA 20648 11242 2681.3 29.3 25.99 647.2 18592 5.8 10.62 7.93 45 11.04 2.13 0.12 96.15 190.68 20.538 154.21 11.178 0.38 0.065 0.18 2.53 0.3 2.8 603.1 29.92 62.48 7.319 28.39 5.472 0.976 4.239 0.62 4.021 0.717 2.459 0.359 2.59 0.382 4.488 0.962 1.118 0.652 21.439 NA 11.86 3.399 Spey -3.19606666666667 57.5065333333333 27
CG093 675 456 41.1 8.739 15919 6472 70041 810 NA 26109 13110 4467.8 69.2 40.24 1682 39258 12.58 19.01 16.83 109 20.18 3.62 1.27 217.37 117.66 39.017 287.56 33.801 3.58 0.197 0.67 4.78 0.4 7.84 449 130.95 247.5 26.532 91.07 15.543 1.275 11.114 1.442 7.903 1.367 4.225 0.636 4.678 0.734 9.919 3.117 12.152 1.869 63.862 1.4 75.09 27.401 Dee -2.82776666666667 57.0610666666667 11
